Orostara,Type,Notes,Nouns,Verbs,Adjectives,Adverbs,Other,OtherType,RootLanguage,RLWord,RL Word Pronunciation,PemSearchList
af,basic,,chance/opportunity,,,,,,Hindi,अवसर,avasar,
afas,basic,,phase,,,,,,Hindi,अवस्था,avastha,
Afhuanestanas,proper,nas' added for clarity,Afghanistan/Islamic Republic of Afghanistan,,,,,,Pashto,افغانستان,afğânestân,
Afrika,proper,the continent,,,,,Africa,,Swahili,Afrika,,
ah,,,,,,,yeah,,Orostara,am,,a
aj,basic,,,,good/positive,,,,Hindi,अच्छा,achchha,
ajok,,Can be used as an casual and flirty honorific suffic ,beauty/(honorific) beautiful one/gorgeous,decorate,pretty/beautiful,beatifully,,,Orostara,aj jok,,
ajtut,,,kindness,,nice/kind,,,,Orostara,aj tut,,
ak,basic,,front/past,,front,forwards,(physically) in front of/next/beyond/toward/to/(temporally) before,preposition,Hindi,आगे,aage,
akas,basic,,sky/weather,,,,,,Hindi,आकाश,aakaash,
akasnit,,,rain,,,,,,Orostara,akas nit,,
akaspek,,,snow,,,,,,Orostara,akas pek,,
akat,basic,,,,hard/stiff/firm/tough/(colloquially) arrogant/stuck up,,,,Hindi,अकड़न,akadan,
akatay,,,history/story,,historic,,,,Orostara,ak katay,Lìshǐ,
akser,basic,,stock/share,,,,,,Russian,акции,ákcija,
akten,,,yesterday,,,,,,Orostara,ak ten,,
aktik,slang,past marker,last time,,previous,previously/already,,,Orostara,ak tik,,
am,basic,,agreement/harmony/fit,agree/fit/suit,agreeable/harmonic/fitting,harmonically,yes,,Tamil,ஆம்,Ām,
amar,basic,romantic love only,romance,romantic love,romantic ,romantically,,,Spanish,amar,,
Amerikanas,proper,nas' added for clarity,United States/US/America/United States of America,,,,,,English,America,,
amka,,particle to indicate something is looking for confirmation; similar to tacking on:  'right?'  or  'isn't it?'  or  'aren't you?',,,,,,,Orostara,am ka,,
amus,basic,,joke/amusement,amuse/entertain ,amusing/entertaining/light-hearted,amusingly,,,French,amuser,,
an,basic,,,,,also/too,and,conjunction,English,and,,
aner,basic,,ring/torus/wheel,,,,,,Portuguese,anel,,
Ankoranas,proper,nas' added for clarity,Angola/Republic of Angola,,,,,,Portuguese,Angola,,
ankur,basic,,angle,angle,angular,angularly,,,Spanish,ángulo,,
Antarkutita,proper,the continent,Antarctica,,,,!ntarctica,,Russian,Антарктида,Antarktida,
ap,basic,,cloud,,cloudy,,,,Persian,ابر,abr,
aper,basic,,knot/tie,bind/tie/tighten/sew,tight/bound/taught,tightly,,,Portuguese,apertado,,
aram,basic,,comfort,comfort,comfortable,comfortably,,,Punjabi,ਆਰਾਮ,Ārāma,
Arapiyetar,proper,tar' added for clarity,Arabic,,,,,,Arabic,العربية,al-ʕarabiyya,
Arhentinanas,proper,nas' added for clarity,Argentina/Argentine Republic República Argentina,,,,,,Spanish,Argentina,,
arj,slang/swear,,fuck,fuck,fucking,,,,Orostara,?,,
arkor,basic,,alcohol,,alcoholic,,,,Portuguese,álcool,,
ars,basic,Mostly used as an honorific suffix,senior level employee,,,,Honorific,,Persian,ارشد,aršad,
artam,basic,,meaning/definition,mean/signify/define,meaningful/significant,meaningfully/significantly,,,Telugu,అర్థము,arthamu,
as,basic,used for possession; if no noun after then assume common sense 'me' or 'you',,,,,of/from/since,,Persian,از,az,
asur,basic,color,blue,,blue,,,,Spanish,azul,,
at,basic,,horse,,,,,,Turkish,at,,
atam,basic,,bridge,cross,,,across,preposition,Telugu,అడ్డముగా,aḍḍamugā,
atar,basic,,respect,respect,respectful,respectfully,,,Hindi,आदर,aadar,
anun,basic,,advertisement/ad,advertise,,,,,Spanish,anuncio,,
atios,basic,,,bye/goodbye,,,,,Spanish,adios,,
atiy,slang,informal slang; short form; can also be spelled 'atio',,bye,,,,,Orostara,atios,,ati
ay,,,,,,,ow,,Orostara,ayjo,,
ayjo,basic,,,,,,ouch,,Cantonese,哎哟,aai jo,
Ayraknas,proper,nas' added for clarity,Iraq/Republic of Iraq,,,,,,Arabic,العراق,aleiraq,
ef,basic,,effect/result/outcome,affect,effective,effectively,else,,Italian,effetto,,
eh,,,,,,,um/uh,,Orostara,,,
ek,basic,,one,,1/first/important/principle/main,,,,Hindi,एक,ek,
ekran,basic,,screen/display/interface,,,,,,Russian,экран,ekran,
